name,name_2,church,date_founded,date_recessed,founding_captain,denomination,addr_streetno,addr_streetname,addr_suburb,addr_postcode,addr,division,battalion,colour,notes
2nd Albury,,Albury Baptist Church,1962,?,,Baptist,,Macauley St,Albury,2640,"Macauley St, Albury NSW 2640",,,,
1st Albury,,Albury Church of Christ,1961,?,,Churches of Christ,524,David St,Albury,2640,"524 David St, Albury NSW 2640",,,,Transferred from NSW in 19??
15th Melbourne,,Altona Baptist Church,1961,?,Alexander Gordon Culbard,Baptist,14,Sargood St,Altona,3018,"14 Sargood St, Altona VIC 3018",,,,
1st Melbourne,1st Vic Armadale,Armadale Baptist Church,1929,1988,Cyril Price,Baptist,88,Kooyong Rd,Armadale,3143,"88 Kooyong Rd, Armadale VIC 3143",,MB�,,
2nd Melbourne,2nd Vic Ashburton,Ashburton Baptist Church,"1940, 1947, 2001","1953, 1983, 2001",,Baptist,8,Y St,Ashburton,3147,"8 Y St, Ashburton VIC 3147",,MB�,,"Was in recess between 1947-1953, and 1983-2001. Aborted attempt at re-starting in 2001."
,,Ballarat Baptist Church,1978,1979,A. Aiton,Baptist,320,Pleasant Street South,Newington,,"320 Pleasant Street South, Newington",,,,
1st Bendigo,11th Vic Bendigo,Bendigo Baptist Church,1982,1999,G Eldidge,Baptist,,Edward St,Bendigo,3550,"Edward St, Bendigo VIC 3550",,,,
18th Vic Berwick,,Berwick Church of Christ,1998,,Richard Wolkow,Churches of Christ,432-446,Centre Rd,Berwick,3806,"432-446 Centre Rd, Berwick VIC 3806",SR,SB,Red,
6th Melbourne,6th Vic Blackburn,Blackburn Baptist Church,1956,1991,,Baptist,Cnr,Canterbury Road and Holland Road,Blackburn,,"Corner of Canterbury Road and Holland Road, Blackburn",,MB,,
12th Melbourne,12th Vic Blackburn North,Blackburn North Baptist Church,1960,2003,Kenneth Joseph Harris,Baptist,4,Dale Crt,Blackburn North,3130,"4 Dale Crt, Blackburn Nth VIC 3130",,MB,,
18th Melbourne,,Brunswick Baptist Church,1968,1969,Norman Neil Webster,Baptist,503,Sydney Rd,Brunswick,3056,"503 Sydney Rd, Brunswick VIC 3056",,,,
32nd Melbourne,,Bulleen Baptist Church,1975,c. 1985,Max E Pedley,Baptist,39,Marcus Rd,Lower Templestowe,3107,"39 Marcus Rd, Lower Templestowe VIC 3107",,,,
5th Melbourne,,Burwood Congregational,1956,1967,Graham M Young,Congregational,Cnr,Warrigal Road and Hyslop Street,Glen Iris,,"Corner of Warrigal Road and Hyslop Street, Glen Iris",,,,
23rd Melbourne,,Burwood East Baptist Church,1967,1970,P. Humphreys,Baptist,,,,,Unable to locate,,,,
4th Melbourne,,Camberwell Baptist Church,1953,1980,,Baptist,460,Riversdale Rd,Hawthorn East,3123,"460 Riversdale Rd, Hawthorn East VIC 3123",,,,Took the designation '4th' on lack of response from Balwyn Presbyterian.
Canterbury,,Canterbury Baptist Church,1973,?,,Baptist,1A,Balwyn Rd,Canterbury,3126,"1A Balwyn Rd, Canterbury VIC 3126",,,,A platoon of 4th Melbourne
27th Vic Sebastopol,,Carmel Welsh Presbyterian Church,1990,2002,Rob Leviston,Presbyterian,261,Albert St,Sebastopol,3356,"261 Albert St, Sebastopol 3356",,,,
22nd Vic Glen Eira,,Caulfield Presbyterian Church,2001,2001,Scott Wilkinson,Presbyterian,3,Neerim Rd,Caulfield,3162,"3 Neerim Rd, Caulfield VIC 3162",,,,
20th Vic Central,,Central Chinese Baptist Church,2001,2006,,Baptist,135,Capel St,North Melbourne,3051,"135 Capel St, North Melbourne VIC 3051",,,,
8th Melbourne,,Chadstone Baptist Church,1960,"1962, 1965, 1969",,Baptist,17-19,Margot St,Chadstone,3148,"17-19 Margot St, Chadstone VIC 3148",,,,
,,Chalmers Presbyterian Church,?,?,,Presbyterian,,,,,,,,,
20th Melbourne,20th Vic Clayton,Clayton Church of Christ,1964,1987,J Hindman,Churches of Christ,23-25,Burton Ave,Clayton,3168,"23-25 Burton Ave, Clayton VIC 3168",,SB,,
1st Colac,,Colac Baptist Church,1965,?,A. H. Martini,Baptist,,Dennis & Hesse Street,Colac,3250,"Cnr Dennis & Hesse Sts, Colac, Vic 3250",,,,
18th Vic Cranbourne,,Cranbourne Missionary Alliance,1983,1987,,,,,,,Unable to locate,,SB,,"Met at the church hall of St John's, Cranbourne"
27th Melbourne,,Dallas Baptist Church,1969,1976,James McDonald,Baptist,26,Millewa Cres,Dallas,3047,"26 Millewa Cres, Dallas VIC 3047",,,,
1st Dandenong,5th Vic Dandenong,Dandenong Baptist Church,"1971, 2008","2005, 2009",,Baptist,25-27,James St,Dandenong,3175,"25-27 James St, Dandenong VIC 3175",,SB,,In recess 2005-2008
23rd Vic Diamond Valley,,Diamond Valley Baptist Church,1983,,Robert John Davis,Baptist,309,Diamond Creek Rd,Plenty,3090,"309 Diamond Creek Rd, Plenty VIC 3090",NWR,MB,,Originally intended to be 5th Melbourne
30th Melbourne,,Dingley Union Gospel Mission,1970,1984,P Lovell,,,,,,Demolished 2010,,,,
3rd Melbourne,,East Camberwell Baptist Church,1941,?,,Baptist,,Camberwell,Camberwell,3124,"Highfield Rd (Cnr Hunter Rd), Camberwell VIC 3124",,,,'Donated tents and brigade flag'. In recess between 1950 and 1953
22nd Melbourne,,East Doncaster Baptist Church,1967,1982,Alfred 'Jack' John Douthwaite,Baptist,47,Doncaster East,Doncaster East,3109,"47 Tunstall Rd, Doncaster E VIC 3109",,,,
,,East Malvern Baptist Church,?,?,,Baptist,,,,,,,,,
1st Geelong,15th Vic Geelong,Fenwick Memorial Baptist Church,1983,1991,,Baptist,Cnr,Verner St & St. Albans Rd,East Geelong,,"Cnr Verner St & St. Albans Rd, East Geelong",,,,
1st Frankston,,Frankston Baptist Church,1967,1980,Les Carter,Baptist,56,Yuille St,Frankston,3199,"56 Yuille St, Frankston VIC 3199",,,,
3rd Frankston,10th Vic Frankston,"Frankston Crusade Revival Centre, Peninsular City Church",1981,2004,,CrossLink Christian Network,250,Frankston-Flinders Rd,Frankston,3199,"250 Frankston-Flinders Rd, Frankston VIC 3199",,SB,,
2nd Frankston,,Frankston Forest Baptist Church,1967,1970,,Baptist,43,Monterey Blvd,Frankston North,3200,"43 Monterey Blvd, Frankston North VIC 3200",,,,
34th Vic Ballarat West,,"Grace Presbyterian Church, Ballarat West",1993,2007,Chris Duke,Presbyterian,,Tait & Vickers Streets,Sebastopol,3356,"Cnr Tait & Vickers Streets, Sebastopol VIC 3356",,,,
9th Melbourne,9th Vic Greensborough,Greensborough Uniting/Methodist Church,1959,2001,Albert Noel Mynard,Uniting Church,37,Grimshaw St,Greensborough,3088,"37 Grimshaw St, Greensborough VIC 3088",,MB,,
29th Melbourne,,Hampton Baptist Church,1970,1984,W Reynolds,Baptist,136,Thomas Street,Hampton,3188,"136 Thomas Street, Hampton VIC 3188",,,,
31st Melbourne,31st Vic Heathmont,Heathmont Baptist Church,1972,1989,Keith Alan Powell,Baptist,78,Cuthbert St,Heathmont,3135,"78 Cuthbert St, Heathmont VIC 3135",,MB,,
1st Horsham,,Horsham Church of Christ,1948,?,,Churches of Christ,,,,,"Corner Urquhart and Baillie Streets, Horsham",,,,
