Name,Location,Church,Founded,Recessed,Founding Capt,Address,Denomination,Battalion,Group,Notes
1st Melbourne,Richmond,Richmond Presbyterian,1904,?,,,Presbyterian,,BB or BNB?,Formerly 3rd Melbourne (Lennox Street Presbyterian) until 1904
1st Melbourne,,Scots Church Presbyterian,1897,c. 1900,Rev J. Heyer,,Presbyterian,,BB or BNB?,
1st Melbourne,,St Mark's Church of England,1890,?,John Asche,,Anglican,,BB,
2nd Melbourne,Camberwell,,?,?,,,,,BB or BNB?,
2nd Melbourne,,Methodist Central Mission,1900,1903,Rev G. H. Cole,Lonsdale Street,Baptist,,BB or BNB?,
2nd Melbourne,,North Fitzroy Presbyterian,1904,?,,,Presbyterian,Naval,BNB,"Fitzroy City Press, Friday 21st Feb 1908, Page 2, 'IN MEMORIAM SERVICE. FITZROY PRESBYTERIAN CHURCH …. Mr. Rock concluded with a few words to the Boys' Naval Brigade, who were present, and of which Mr. Haydock [the deceased] was treasurer"
2nd Melbourne,Richmond,Richmond Methodist,1902,?,J. A. Gaylard,,Methodist,Military,BB,Formerly 4th Melbourne
3rd Melbourne,North Carlton,,?,?,,,,Military,BB,"Australian Youth, 1 August 1907"
3rd Melbourne,,Hoddle Street Baptist Church,1904,?,,,Baptist,,BB or BNB?,
3rd Melbourne,Richmond,Lennox Street Presbyterian,1901,1903,,,Presbyterian,,BB or BNB?,"Became 1st Melbourne at Richmond Presbyterian -BUM. Australian Youth, 1 October 1907"
4th Melbourne,Collingwood,,c.1904-06,?,,,,Military,BB,"Australian Youth, 1 August 1907"
4th Melbourne,Richmond,Richmond Methodist,1902,1902,J. A. Gaylard,,Methodist,,BB or BNB?,Became 2nd Melbourne shorly after formation.
4th Melbourne,Williamstown,"St Andrew's Presbyterian Church Sunday School, Williamstown",1902,?,J. Cameron,"Cecil Street, Williamstown",Presbyterian,Naval,BNB,Possibly founded 1904.
5th Melbourne,,St Kilda Presbyterian,1903,?,C. W. Le Plasnet,,Presbyterian,Naval Battalion,BNB,Also known as 'No. 2 Company'
6th Melbourne,Flemington,,?,?,,,,Military,BB,"Australian Youth, 1 January 1908"
6th Melbourne,Elsternwick,Elsternwick Congregational,c.1904-06,?,,,,Naval,BNB,"Australian Youth, 1 October 1907"
6th Melbourne,,"Augustine Congregational Church, Hawthorn",1904,?,,,Congregational,Naval,BNB,
7th Melbourne,Armadale,,?,?,,,,,BB or BNB?,
7th Melbourne,South Melbourne,,c.1904-06,?,,,,Naval,BNB,
7th Melbourne,,South Melbourne Presbyterian,1904,?,,,Presbyterian,Naval,BNB,
8th Melbourne,Holmesglen,,?,?,,,,,Life Boys Only,
